id_catalog_attribute_option_global_brick	name
755	Pull Cart
756	Push Pins
757	Push Up
758	Puzzles
759	Pyjamas
760	Queen Bed
761	Queen Bed Mattress
762	Quilted Jackets
763	Quilts
764	Racing Equipment
765	Radio Controlled Vehicles
766	Rain Cheaters
767	Rain Jackets
768	Rain Suits
769	Rain Trousers
770	Rakhi Special
771	Rattles & Teethers
772	Razor
773	Recliner Chair
774	Rectangle
775	Regular Fit Jeans
776	Remote Controlled Cars
777	Remote Controlled Helicopters
778	Rice Cooker
779	Ride Ons
780	Rides On
781	Rimless
782	Ring
783	Rocker
784	Rocking Chair
785	Role Play Toys
786	Roll On
787	Roller Ball Pen
788	Room Heater
789	Room Story
790	Round
791	Round Neck Sweaters
792	Round Neck T-Shirt
793	Round Neck T-Shirts
794	Round Neck Vests
795	Rubber-Band Stand
796	Ruffle
797	Rugbyballs
798	Rugs
799	Running Accessories
800	Running Bands
801	Running Shoes
802	Safes
803	Salad Server
804	Salt & Pepper
1209	SALWAR
805	Salwar Kameez Dupatta
806	Salwars & Churidars
807	Sandals
808	Sandwich Maker
809	Sandwich Maker & Toasters
810	Saree Blouses
811	Sarees
812	Sarong
813	Sauce Pan
814	Scarf
815	Scarf-Pocket Square Set
816	Scarves
1191	Scarves & Stoles
817	Scented Tassel
818	School Bag
819	Science & Nature
820	Science Kits
821	Scissors
822	Scooters & Tricycles
823	Screen
824	Screen Guards
825	Scrubs
826	Seamless
827	Separator
828	Serums
829	Serving Cart
830	Serving Set
831	Serving Spoon
832	Serving Trolly
1203	Sets
833	Shampoo
834	Shaperwear
835	Shapewear
836	Shaving Cream
837	Shaving Gel & Foam
838	Shawls
839	Sheer Bra
840	Sheer Curtains
841	Shelf
842	Sherwani Set
843	Sherwanis
844	Shift Dress
845	Shin Guards
846	Shine Cream
847	Shine Spray
848	Shirts
849	Shoe Brush
850	Shoe Cleaner
851	Shoe Cream
852	Shoe Cushioning Kit
853	Shoe Deo
854	Shoe Horn
855	Shoe Polish
856	Shoe Protector
857	Shoe Rack
858	Shoe Refresher
859	Shoe Shiner
860	Shoe Shiner(Sponge)
861	Shoe Stand
862	Shooting Balls
863	Shopping Bag
864	Shopping Cart
865	Shorts
866	Shorts & 3/4Ths
1142	SHORTS SETS
