"CustomerNo","fk_catalog_segment","sku_simple","id_catalog_simple","avg_size","prediction","simple_list","cluster_total","profiles"
9583045,1,"ZC657SH96XITINDFAS-2897491",2897491,24.3,"FALSE","2897489:0.60,2897487:0.52,2897491:0.50,2897493:0.40,2897497:0.40,2897495:0.40",1,1
958478,1,"ZC657SH76KLVINDFAS-3044925",3044925,25.55,"TRUE","3044925:0.56,3044923:0.48,3044927:0.47,3044921:0.39,3044919:0.30,3044917:0.24",5,2
958478,1,"MB095SH05QHUINDFAS-1319811",1319811,25.55,"TRUE","1319811:0.56,1319810:0.48,1319812:0.47,1319809:0.39,1319808:0.30,1319807:0.24",5,2
958478,1,"ZC657SH98ULXINDFAS-2530677",2530677,25.55,"TRUE","2530677:0.56,2530675:0.48,2530679:0.47,2530673:0.39,2530671:0.30,2530669:0.24",5,2
958694,2,"RE104SH62NWBINDFAS-2759561",2759561,25.7,"TRUE","2759561:0.50,2759563:0.50,2759559:0.47,2759565:0.42,2759567:0.36,2759569:0.33",2,2
9589663,1,"KI520SH14BRDINDFAS-3501487",3501487,23,"TRUE","3501487:0.60,3501489:0.52,3501491:0.42,3501497:0.40,3501495:0.40,3501493:0.40",1,1
959221,2,"FR275SH33NOCINDFAS-1937109",1937109,28.6,"FALSE","1937107:0.53,1937106:0.51,1937108:0.43,1937109:0.37,1937110:0.30,1937111:0.25",3,2
9593953,1,"MY465SH62OAVINDFAS-1366071",1366071,23.55,"TRUE","1366071:0.50,1366070:0.44,1366072:0.41,1366073:0.38,1366074:0.33,1366075:0.27",4,3
9596548,1,"ST446SH88ADBINDFAS-1615148",1615148,24,NA,"1615150:0.59,1615149:0.54,1615151:0.54,1615152:0.47,1615148:0.46,1615147:0.43,1615153:0.43,1615145:0.40,1615154:0.40,1615146:0.40,1615144:0.39,1615143:0.38,1615142:0.33",1,1
9596548,1,"ST446SH94OFHINDFAS-2935305",2935305,24,NA,"2935309:0.59,2935311:0.54,2935307:0.54,2935313:0.47,2935305:0.46,2935303:0.43,2935299:0.40,2935301:0.40,2935297:0.39,2935295:0.38",1,1
9600323,1,"CA027SH68HGHINDFAS-3332181",3332181,23.8,"TRUE","3332181:0.55,3332183:0.54,3332185:0.42,3332179:0.42,3332177:0.35,3332187:0.29",4,2
9601112,1,"TE228SH38TMVINDFAS-1783367",1783367,23.55,"TRUE","1783367:0.60,1783366:0.52,1783368:0.50,1783369:0.40,1783370:0.40,1783371:0.40",1,1
9601112,1,"MY465SH66GGJINDFAS-3390605",3390605,23.55,"TRUE","3390605:0.60,3390603:0.52,3390607:0.50,3390609:0.40,3390613:0.40,3390611:0.40",1,1
9601163,1,"RE105SH15ALWINDFAS-1285112",1285112,25.5,"TRUE","1285112:0.53,1285111:0.53,1285110:0.40,1285113:0.39",1,1
9602792,2,"CR037SH45BKCINDFAS-2134180",2134180,22.86,"FALSE","2134187:0.49,2134186:0.49,2134188:0.42,2134185:0.41,2134189:0.37,2134184:0.35,2134183:0.33,2134182:0.26,2134181:0.22,2134180:0.17",2,2
9604537,2,"FI053SH47ZHCINDFAS-2310014",2310014,26.04,"FALSE","2310017:0.49,2310014:0.47,2310015:0.46,2310016:0.42,2310013:0.40,2310012:0.33",2,2
9605576,1,"ZC657SH51IRSINDFAS-1523123",1523123,23.55,"TRUE","1523125:0.50,1523123:0.50,1523126:0.44,1523122:0.44,1523124:0.42,1523127:0.36",2,2
960708,1,"MB095SH54UTLINDFAS-3925189",3925189,24.3,"FALSE","3925191:0.47,3925189:0.45,3925193:0.40,3925187:0.38,3925185:0.33,3925195:0.33",4,3
960708,1,"NE717SH42XNXINDFAS-2603179",2603179,24.3,"FALSE","2603181:0.47,2603179:0.45,2603183:0.40,2603177:0.38,2603175:0.33,2603185:0.33",4,3
9608071,1,"ST131SH68GZBINDFAS-2626793",2626793,24.3,NA,"2626797:0.60,2626795:0.52,2626799:0.51,2626793:0.43,2626791:0.40,2626789:0.40",1,1
96091,1,"RE105SH25ALMINDFAS-1285074",1285074,26.5,"FALSE","1285073:0.51,1285074:0.40,1285072:0.39,1285071:0.27",35,8
960936,1,"BL542SH82TIJINDFAS-1600318",1600318,24,"FALSE","1600319:0.43,1600318:0.42,1600320:0.38,1600317:0.37,1600321:0.36,1600316:0.32,1600322:0.31",7,4
9609487,1,"CA027SH32NWHINDFAS-4206237",4206237,24.9,"TRUE","4206241:0.33,4206237:0.33,4206235:0.32,4206239:0.32,4206243:0.29,4206233:0.25",5,5
9615510,1,"CA027SH86EPHINDFAS-3386287",3386287,24.9,"FALSE","3386291:0.54,3386289:0.53,3386287:0.42,3386281:0.40,3386283:0.39,3386285:0.38",1,1
9620001,1,"BE043SH83EWEINDFAS-1866255",1866255,24.3,"FALSE","1866254:0.66,1866253:0.58,1866255:0.55,1866256:0.44,1866257:0.35,1866258:0.33,1866259:0.33",2,1
962201,1,"LA832SH52RETINDFAS-1656344",1656344,26.4,"FALSE","1656343:0.47,1656342:0.46,1656344:0.40,1656341:0.39,1656345:0.37,1656340:0.30",14,5
962206,1,"CR037SH89OOKINDFAS-1100561",1100561,23.622,"FALSE","2134597:0.40,2134596:0.35,4451120:0.33,4451122:0.32,1100561:0.30,2134595:0.24,2134594:0.18,2134593:0.15",5,4
962206,1,"CR037SH89OOKINDFAS-2134596",2134596,24.13,"FALSE","2134597:0.40,2134596:0.35,4451120:0.33,4451122:0.32,1100561:0.30,2134595:0.24,2134594:0.18,2134593:0.15",5,4
962268,1,"MI877SH96NVNINDFAS-3050381",3050381,23.55,"FALSE","3050387:0.60,3050385:0.52,3050389:0.51,3050383:0.43,3050381:0.40,3050379:0.40",1,1
9623921,3,"DI040SH68KHJINDFAS-1526582",1526582,22.86,"FALSE","1526578:0.45,1526579:0.42,1526580:0.39,1526581:0.37,1526582:0.34,1526583:0.33",2,2
9623921,3,"DI040SH68KHJINDFAS-1526582",1526582,22.86,"FALSE","1526578:0.45,1526579:0.42,1526580:0.39,1526581:0.37,1526582:0.34,1526583:0.33",2,2
9625608,1,"LO470SH99ZCQINDFAS-1677865",1677865,23.55,"TRUE","1677865:0.67,1677864:0.58,1677866:0.55,1677867:0.44,1677868:0.36,1677869:0.33",2,1
962618,1,"ZC657SH33ZLYINDFAS-1613537",1613537,23,"FALSE","1613539:0.60,1613540:0.50,1613538:0.50,1613541:0.43,1613537:0.42",1,1
962618,1,"ZC657SH92GVJINDFAS-2434927",2434927,23,"FALSE","2434931:0.60,2434933:0.50,2434929:0.50,2434935:0.43,2434927:0.42,2434937:0.40",1,1
9626854,2,"PR101SH30YHLINDFAS-2842917",2842917,27.3,"FALSE","2842913:0.43,2842911:0.43,2842909:0.40,2842915:0.39,2842917:0.33",3,3
9627056,1,"LA009SH04DJZINDFAS-3148773",3148773,24.7,"TRUE","3148773:0.57,3148775:0.49,3148771:0.48,3148777:0.40,3148769:0.39,3148767:0.31,3148765:0.26",3,2
9627919,1,"LO961SH36EVBINDFAS-3387127",3387127,25,"TRUE","3387127:0.67,3387129:0.57,3387125:0.56,3387131:0.48,3387123:0.44,3387133:0.39,3387121:0.36",2,1
9628048,2,"WO136SH22UGVINDFAS-1546243",1546243,26.7,"FALSE","1546240:0.38,1546244:0.38,1546241:0.33,1546242:0.31,1546243:0.27",9,5
963067,1,"CA028SH33SKWINDFAS-2175373",2175373,23.55,"FALSE","2175372:0.54,2175373:0.47,2175374:0.38,2175375:0.29,2175376:0.22,2175377:0.15",9,3
963067,1,"CA028SH43LEYINDFAS-2220440",2220440,23.55,"FALSE","2220439:0.54,2220440:0.47,2220441:0.38,2220442:0.29,2220443:0.22",9,3
963067,1,"CA028SH33SKWINDFAS-2175372",2175372,23,"TRUE","2175372:0.54,2175373:0.47,2175374:0.38,2175375:0.29,2175376:0.22,2175377:0.15",9,3
96354,1,"LA037SH98JWJINDFAS-1877465",1877465,25.7,"TRUE","1877465:0.58,1877464:0.51,1877466:0.45,1877463:0.36,1877462:0.23,1877461:0.20",6,2
9637013,1,"TE228SH12AXJINDFAS-2965563",2965563,25.4,"TRUE","2965563:0.58,2965565:0.58,2965561:0.54,2965559:0.45,2965557:0.40,2965555:0.40",1,1
9637814,1,"MI162SH32JLNINDFAS-3221755",3221755,24.3,"FALSE","3221757:0.71,3221759:0.62,3221755:0.60,3221761:0.51,3221753:0.47,3221751:0.38",3,1
9637814,1,"ZC657SH20SGLINDFAS-3839839",3839839,24.3,"FALSE","3839841:0.71,3839843:0.62,3839839:0.60,3839845:0.51,3839837:0.47,3839835:0.38",3,1
9637814,1,"CH279SH87PEAINDFAS-2287009",2287009,25,"TRUE","2287009:0.71,2287010:0.62,2287008:0.60,2287011:0.51,2287007:0.47,2287006:0.38",3,1
9637814,1,"ZC657SH33YJYINDFAS-1796436",1796436,25,"TRUE","1796436:0.71,1796437:0.62,1796435:0.60,1796438:0.51,1796434:0.47,1796433:0.38",3,1
9637814,1,"NE717SH75VXGINDFAS-4163158",4163158,24.3,"FALSE","4163156:0.71,4163154:0.62,4163158:0.60,4163152:0.51,4163160:0.47,4163162:0.38",3,1
9638322,1,"CA028SH56WDNINDFAS-1549075",1549075,25.55,"FALSE","1549071:0.60,1549072:0.52,1549073:0.42,1549076:0.40,1549074:0.40,1549075:0.40",1,1
963936,1,"LA037SH23HTOINDFAS-1872050",1872050,24.9,"TRUE","1872050:0.73,1872051:0.63,1872049:0.54,1872052:0.47,1872048:0.38,1872047:0.30",4,1
963936,1,"LA037SH88JWTINDFAS-1877524",1877524,24.9,"TRUE","1877524:0.73,1877525:0.63,1877523:0.54,1877526:0.47,1877522:0.38,1877521:0.30",4,1
9641911,2,"FI053SH24TLFINDFAS-3598561",3598561,26.67,"FALSE","3598565:0.59,3598563:0.51,3598561:0.42,3598559:0.40,3598557:0.39,3598555:0.37",1,1
9641977,2,"GA180SH10AYVINDFAS-2313921",2313921,29.6,"FALSE","2313918:0.59,2313917:0.50,2313919:0.47,2313920:0.40,2313921:0.40,2313922:0.33",1,1
9641977,2,"LO087SH52MIDINDFAS-1205729",1205729,28.79,"FALSE","1205727:0.58,1205726:0.51,1205728:0.47,1205730:0.40,1205729:0.39,1914473:0.32",1,1
9644155,2,"CO036SH62RFPINDFAS-1265842",1265842,29.5,"TRUE","1265842:0.49,1265841:0.48,1265840:0.37,1265838:0.32,1265839:0.32,1265837:0.29,1565319:0.25,1565318:0.18,1565317:0.10",2,2
9644385,1,"JC046SH95UQAINDFAS-2296912",2296912,25.55,"FALSE","2296911:0.62,2296912:0.54,2296910:0.52,2296913:0.44,2296909:0.41,2296908:0.33",9,3
9644592,1,"MY465SH92GFJINDFAS-3390455",3390455,25.55,"FALSE","3390451:0.67,3390453:0.56,3390449:0.55,3390455:0.47,3390447:0.47,3390457:0.37",2,1
9646734,1,"SO714SH18XOBINDFAS-3780681",3780681,22.7,"TRUE","3780681:0.47,3780683:0.47,3780685:0.47,3780687:0.45,3780679:0.38,3780689:0.38",2,2
9647119,1,"BL542SH10LYFINDFAS-4143759",4143759,24.5,"FALSE","4143755:0.53,4143757:0.46,4143761:0.40,4143765:0.40,4143763:0.40,4143759:0.39",1,1
9647961,1,"KI520SH86TZLINDFAS-3188909",3188909,26.2,"TRUE","3188909:0.53,3188907:0.44,3188899:0.40,3188905:0.40,3188903:0.40,3188901:0.40",1,1
9647961,1,"CA027SH40WZJINDFAS-2896125",2896125,26.6,"TRUE","2896125:0.59,2896123:0.46,2896115:0.40,2896121:0.39,2896117:0.39,2896119:0.38",1,1
9648647,1,"MO651SH86GRXINDFAS-3686883",3686883,23.3,"TRUE","3686883:0.42,3686881:0.41,3686885:0.40,3686879:0.34,3686887:0.33,3686889:0.29,3686891:0.23,3686893:0.22",5,3
9650014,2,"IS716SH62COJINDFAS-1916934",1916934,25.7,"FALSE","1916933:0.60,1916934:0.52,1916935:0.48,1916936:0.40,1916937:0.39,1916939:0.38,1916938:0.37",1,1
9653875,3,"DI040SH03PYYINDFAS-1720464",1720464,18.62,"TRUE","1720464:0.60,1720463:0.56,1720462:0.53,1720461:0.50,1720460:0.46,1720459:0.43",1,1
9654585,1,"CA027SH46QOJINDFAS-2052570",2052570,22.9,"FALSE","2052571:0.57,2052570:0.51,2052569:0.44,2052572:0.41,2052574:0.39,2052573:0.39",1,1
9654585,1,"CA027SH45QOKINDFAS-2052577",2052577,23.8,"TRUE","2052577:0.57,2052576:0.51,2052575:0.44,2052578:0.41,2052580:0.39,2052579:0.39",1,1
9655017,1,"WE286SH22JUZINDFAS-2568813",2568813,23.7,"NOPRED","2568813:0.41,2568817:0.41,2568821:0.41,2568811:0.39,2568815:0.39,2568819:0.38",3,3
9655394,2,"GA180SH38OFHINDFAS-1826301",1826301,27,"TRUE","1826301:0.59,1826300:0.50,1826302:0.47,1826304:0.40,1826303:0.40,1826305:0.33",1,1
965683,2,"CL034SH85MUWINDFAS-1824428",1824428,26.7,"FALSE","1824427:0.33,1824429:0.32,1824428:0.27,1824426:0.27",5,4
965695,1,"MI162SH68SCH-310436",310436,25,"FALSE","234344:0.44,310435:0.40,310436:0.37,310434:0.34,310437:0.33,310438:0.28",5,3
9658215,1,"ZC657SH08RFVINDFAS-2586127",2586127,23.55,"FALSE","2586129:0.62,2586131:0.52,2586127:0.52,2586133:0.44,2586125:0.44,2586135:0.35",4,2
9658792,2,"PR101SH30YHLINDFAS-2842915",2842915,26.7,"TRUE","2842915:0.60,2842917:0.52,2842913:0.51,2842911:0.47,2842909:0.43",1,1
9660552,1,"LA037SH74USRINDFAS-2411061",2411061,25.7,"FALSE","2411059:0.59,2411061:0.50,2411057:0.43,2411053:0.40,2411063:0.39,2411055:0.39",1,1
96620,1,"LE080SH44AIDINDFAS-3787263",3787263,24.5,"TRUE","3787263:0.54,3787261:0.50,3787259:0.47,3787265:0.47,3787267:0.43,3787269:0.39",3,2
9663545,2,"CO036SH40ZMTINDFAS-2901113",2901113,25.5,"FALSE","2901115:0.57,2901117:0.49,2901113:0.44,2901121:0.39,2901119:0.38,2901111:0.35",1,1
9666212,2,"UN573SH74XFTINDFAS-2897015",2897015,29.4,"FALSE","2897011:0.56,2897009:0.53,2897013:0.45,2897007:0.43,2897015:0.38,2897017:0.35",1,1
9666503,1,"MY465SH68TWLINDFAS-2949125",2949125,24.3,"FALSE","2949121:0.60,2949123:0.52,2949125:0.42,2949127:0.40,2949129:0.40,2949131:0.40",1,1
9667881,1,"NE717SH80TWLINDFAS-2240685",2240685,24.3,"TRUE","2240685:0.67,2240686:0.56,2240684:0.55,2240687:0.47,2240683:0.47,2240682:0.37",2,1
